layers,qubits,variance
1.0,2.0,0.3398147512297381
1.0,4.0,0.3195987251031162
1.0,6.0,0.33010663303098536
1.0,8.0,0.312365483773937
1.0,10.0,0.33654903429237054
3.0,2.0,0.3230487579486322
3.0,4.0,0.26792764642399464
3.0,6.0,0.2765561308734693
3.0,8.0,0.29456987210238145
3.0,10.0,0.279534368680288
5.0,2.0,0.30776744306680137
5.0,4.0,0.261354690069501
5.0,6.0,0.2819373995841179
5.0,8.0,0.26451267033495796
5.0,10.0,0.2630255512045597
10.0,2.0,0.3174963809556253
10.0,4.0,0.2293653895170159
10.0,6.0,0.21929838431820012
10.0,8.0,0.20571952102535593
10.0,10.0,0.20836788064090542
15.0,2.0,0.29265593790994027
15.0,4.0,0.19775268417688294
15.0,6.0,0.15871363608733685
15.0,8.0,0.17027051116263617
15.0,10.0,0.17824794014866252
20.0,2.0,0.2941942459636078
20.0,4.0,0.15884170144314216
20.0,6.0,0.14357095523589186
20.0,8.0,0.14048219548463495
20.0,10.0,0.15416125303606373
50.0,2.0,0.29618185022510535
50.0,4.0,0.14633198448875018
50.0,6.0,0.07886319307489471
50.0,8.0,0.05942177862510004
50.0,10.0,0.05175796879090624
100.0,2.0,0.28375005432131667
100.0,4.0,0.14080739142889265
100.0,6.0,0.07038606997661158
100.0,8.0,0.03586615081731177
100.0,10.0,0.02003138235649153
200.0,2.0,0.2888317202599754
200.0,4.0,0.156215846328189
200.0,6.0,0.0696428304040088
200.0,8.0,0.034434845670143585
200.0,10.0,0.01893045301547359
